Street Address,Postal City,County,Price,Beds Total,Sq Ft Total,Full Bath,Half Bath,Lot Size,Age,State,Lat,Lon,Tract,Total Population,Median Income,Walk Score,Bike Score,Comps,School Rating
2010 Portmarnock Way,Gilroy,Santa Clara,1820000,5,3655,3,1,11152,18,CA,36.9968723,-121.6029485,512510,6790,105598,4,9,521,5
726 5th Street,Gilroy,Santa Clara,935000,3,1542,2,0,8470,64,CA,37.0054291,-121.5786069,512511,4020,92500,63,69,525,4.4
58 Park Sharon Drive,San Jose,Santa Clara,1550000,5,2783,3,0,9348,45,CA,37.2688024,-121.8249675,512021,6448,117097,2,60,528,4.8
9690 Ohlone Way,Gilroy,Santa Clara,1460000,4,2804,3,0,6923,21,CA,37.0328231,-121.6013437,512515,4805,161903,15,48,529,4.7
21 Angra Way,Gilroy,Santa Clara,1065000,3,2069,2,1,2917,7,CA,36.9974628,-121.5651634,512509,7176,147900,72,80,531,4.8
1775 Paradise View Road ,Morgan Hill,Santa Clara,1865000,4,3495,3,0,154638,53,CA,37.1013728,-121.6710191,512305,4555,169667,1,0,534,4.6
9681 Ohlone Way,Gilroy,Santa Clara,1500000,5,2850,3,1,6844,20,CA,37.0326772,-121.6019009,512515,4805,161903,18,54,538,4.7
1413 Pheasant Drive,Gilroy,Santa Clara,1110000,4,1891,3,0,5959,0,CA,37.026952,-121.606938,512516,4229,141705,18,52,544,5.2
980 Hoxett Street,Gilroy,Santa Clara,1200000,4,2237,2,1,7047,40,CA,37.0003563,-121.585852,512511,4020,92500,21,41,550,4.4
7720 Rosanna Street,Gilroy,Santa Clara,730000,3,1120,2,0,6338,112,CA,37.0110961,-121.5742151,512604,4536,83375,91,81,552,5.4
7250 Miller Avenue,Gilroy,Santa Clara,1020000,4,2059,2,1,7709,47,CA,37.0010782,-121.5816165,512512,3650,75915,31,57,552,4.4
6750 Princevalle Street,Gilroy,Santa Clara,1100000,3,1625,2,0,7867,41,CA,36.9945169,-121.5718073,512509,7176,147900,35,48,556,5.2
575 Calle Siena ,Morgan Hill,Santa Clara,1860000,5,3727,4,0,7904,23,CA,37.1372352,-121.6483854,512311,3931,114643,40,57,558,5
125 Bennett Street,Gilroy,Santa Clara,915000,3,1336,2,1,3635,25,CA,37.0304175,-121.5826865,512513,3860,93156,26,64,559,4.5
9291 Mockingbird Lane,Gilroy,Santa Clara,1268000,4,1891,3,0,5609,28,CA,37.0268183,-121.6056008,512516,4229,141705,20,54,560,5.2
16255 Jackson Oaks Drive,Morgan Hill,Santa Clara,1500000,4,2491,3,0,18059,50,CA,37.1419965,-121.5866991,512309,5102,139157,5,1,560,5.6
8030 Croy Road,Morgan Hill,Santa Clara,842500,3,1500,2,0,934362,74,CA,37.0854417,-121.7804434,512200,3837,141538,0,0,562,3.8
715 N 11th Street,San Jose,Santa Clara,1220000,3,1717,3,1,1754,8,CA,37.3551712,-121.8906915,500100,7074,129327,84,93,563,3.5
872 Ryan Court,Gilroy,Santa Clara,750000,3,960,1,1,6043,50,CA,37.0160244,-121.5882595,512505,7856,95368,75,78,565,4.3
1330 Cedar Court,Gilroy,Santa Clara,1008000,3,1711,2,1,7208,57,CA,37.0088603,-121.5953479,512510,6790,105598,59,54,565,4.5
2017 Terilyn Avenue,San Jose,Santa Clara,1175000,5,1872,3,0,5844,61,CA,37.3251679,-121.8360002,503402,5114,63690,23,40,566,4.2
9002 Mimosa Court,Gilroy,Santa Clara,1975000,4,2800,3,0,29454,6,CA,37.0235933,-121.6160885,512515,4805,161903,4,18,566,5.2
1220 Longmeadow Drive,Gilroy,Santa Clara,1090000,4,1735,2,1,6810,29,CA,37.027752,-121.6035948,512516,4229,141705,21,58,567,5.2
15950 Oakridge Road,Morgan Hill,Santa Clara,1655000,4,2904,3,0,14366,49,CA,37.1458771,-121.5882595,512309,5102,139157,1,2,567,5.6
2365 Stonecress Street,Gilroy,Santa Clara,1900000,4,3175,3,1,20361,18,CA,37.0252136,-121.622204,512515,4805,161903,3,12,567,5.2
3300 Canada Road,Gilroy,Santa Clara,1650000,4,2908,3,0,116741,47,CA,37.0087307,-121.5066889,512602,2696,113333,14,25,567,5.3
19051 Chicory Lane,Morgan Hill,Santa Clara,1210027,3,1986,2,1,5197,7,CA,37.1494465,-121.6713644,512305,4555,169667,22,60,575,4.2
263 Loupe Court,Gilroy,Santa Clara,850000,4,1299,1,1,4234,50,CA,37.0239908,-121.5805015,512513,3860,93156,51,77,579,4.5
1281 Longmeadow Drive,Gilroy,Santa Clara,1260000,3,1909,2,1,6342,34,CA,37.0284635,-121.6041297,512515,4805,161903,20,56,582,5.2
1400 Partridge Drive,Gilroy,Santa Clara,1210000,3,2159,3,0,7054,27,CA,37.0228696,-121.6048875,512516,4229,141705,23,56,592,5.2
544 Hoover Court,Gilroy,Santa Clara,740000,2,1116,2,0,3149,39,CA,37.0103291,-121.5629784,512603,4176,68686,71,78,597,5
211 Coriander Avenue,Morgan Hill,Santa Clara,1600000,4,2828,2,1,4102,12,CA,37.1519509,-121.6781469,512305,4555,169667,22,36,600,4.2
19411 Dougherty Avenue,Morgan Hill,Santa Clara,1525000,4,2423,2,1,4530,12,CA,37.1522104,-121.6782401,512305,4555,169667,22,36,600,4.2
17461 Blue Jay Drive,Morgan Hill,Santa Clara,1945000,4,2413,2,1,20000,47,CA,37.1541441,-121.6075175,512308,8661,176788,0,8,602,5.6
7951 Carmel Street,Gilroy,Santa Clara,800000,3,1528,2,0,7982,82,CA,37.0129017,-121.5800114,512511,4020,92500,86,74,605,5.4
18410 Corte Anacapi ,Morgan Hill,Santa Clara,2135000,4,3402,4,1,14822,2,CA,37.1593867,-121.6337023,512308,8661,176788,0,33,605,5.3
19600 Caraway Place,Morgan Hill,Santa Clara,1390000,4,2501,2,1,3717,6,CA,37.1556231,-121.6781691,512305,4555,169667,23,51,606,4.2
2023 Orlando Dr ,San Jose,Santa Clara,920000,5,1548,3,0,5226,62,CA,37.328292,-121.8308399,503306,4100,97419,59,52,611,4.4
1175 Spiro Drive,San Jose,Santa Clara,1100000,3,1101,2,0,4283,0,CA,37.3412414,-121.8589074,501501,4335,65288,60,68,614,4.2
3200 Valley View Court,Morgan Hill,Santa Clara,1950000,4,3126,3,1,16050,48,CA,37.1477777,-121.6019901,512308,8661,176788,4,7,616,5.6
17301 Lakeview Dr ,Morgan Hill,Santa Clara,1650000,3,2190,3,0,22156,46,CA,37.1500499,-121.6033051,512308,8661,176788,1,7,616,5.6
1575 Bautista Way,Morgan Hill,Santa Clara,1910000,4,3225,3,1,7165,0,CA,37.1551386,-121.6413449,512308,8661,176788,16,41,617,5.2
18211 Tolusa Place,Morgan Hill,Santa Clara,2008888,5,3231,4,1,7446,6,CA,37.1522983,-121.6429045,512308,8661,176788,17,40,622,5.2
117 Pleasant Ridge Avenue,San Jose,Santa Clara,1350000,4,1980,2,0,8100,74,CA,37.3668567,-121.8355109,503903,3390,105026,56,59,622,3.6
1040 San Miguel Street,Gilroy,Santa Clara,990000,3,1540,2,0,7505,46,CA,37.0059651,-121.5880588,512510,6790,105598,46,52,626,4.4
3315 Mount Everest Dr ,San Jose,Santa Clara,1085000,5,1659,2,0,5000,61,CA,37.3533417,-121.8068146,503508,5896,97411,25,40,628,4.2
17051 Pistache Drive,Morgan Hill,Santa Clara,1270000,4,2255,3,0,4828,11,CA,37.1349255,-121.6310952,512308,8661,176788,49,61,629,5.6
175 Roosevelt Avenue,San Martin,Santa Clara,1100000,4,1977,2,0,50094,48,CA,37.0873559,-121.6152287,512401,4542,120536,27,30,629,4.8
1585 Eagles Nest Lane,Gilroy,Santa Clara,1285000,4,1927,2,0,7836,25,CA,37.0320568,-121.6098131,512515,4805,161903,10,44,630,5.2
7545 Milias Court,Gilroy,Santa Clara,1105000,4,1570,2,0,7707,44,CA,37.0052242,-121.5878136,512510,6790,105598,25,49,632,4.4
73 La Crosse Drive,Morgan Hill,Santa Clara,1750000,5,2670,3,0,11197,41,CA,37.1083494,-121.6476948,512307,7151,137894,57,66,632,5.2
1206 Taper Lane ,San Jose,Santa Clara,1280000,4,1350,2,0,6300,44,CA,37.3209788,-121.8418275,503111,5979,107308,41,55,634,5
1552 E San Fernando Street,San Jose,Santa Clara,1010000,4,1553,2,0,5360,92,CA,37.3489168,-121.8585071,503602,5444,72336,65,58,635,4
2795 Cantor Drive,Morgan Hill,Santa Clara,2050000,4,2820,3,0,7031,27,CA,37.1356515,-121.6014997,512309,5102,139157,9,19,636,5.6
18312 Solano Court,Morgan Hill,Santa Clara,2000000,4,3074,3,0,6905,23,CA,37.1546712,-121.6432387,512308,8661,176788,22,44,638,5.2
505 Calle Buena Vista,Morgan Hill,Santa Clara,1150000,4,1831,2,1,3147,17,CA,37.138135,-121.653423,512311,3931,114643,29,64,639,5
550 E Central Avenue,Morgan Hill,Santa Clara,1705000,4,2456,2,1,7184,23,CA,37.1370536,-121.6505242,512311,3931,114643,39,66,639,5
16885 Sundance Drive,Morgan Hill,Santa Clara,1261500,4,2092,3,0,7022,41,CA,37.1376123,-121.6144487,512309,5102,139157,25,40,640,5.6
20850 Almaden Road,San Jose,Santa Clara,1200000,3,1875,2,0,10454,72,CA,37.1849002,-121.8166478,511911,4893,136635,13,3,640,7.5
3343 Cuesta Drive,San Jose,Santa Clara,1400000,4,2125,3,0,6000,57,CA,37.3416363,-121.795156,503322,4990,112763,11,41,643,4
78 N 34th Street,San Jose,Santa Clara,960000,3,1700,2,0,10250,102,CA,37.3541256,-121.858685,503601,3451,72206,66,53,645,3.8
1781 Crucero Drive,San Jose,Santa Clara,970000,3,1214,2,1,3299,51,CA,37.3273503,-121.8430286,503111,5979,107308,33,51,646,4.3
15475 La Alameda Drive,Morgan Hill,Santa Clara,1399000,4,2331,3,0,16225,48,CA,37.1018245,-121.646202,512307,7151,137894,34,47,646,4.6
18680 Purissima Way,Morgan Hill,Santa Clara,3200000,5,5106,4,1,25195,16,CA,37.1621286,-121.6425258,512308,8661,176788,18,45,646,5.2
5333 Greenside Drive,San Jose,Santa Clara,2730000,4,4216,3,1,23014,102,CA,37.3857539,-121.823922,504201,5534,159688,28,29,654,3.3
520 Encino Drive,Morgan Hill,Santa Clara,1750000,5,2670,3,0,13206,45,CA,37.1021547,-121.6441968,512307,7151,137894,23,47,663,4.6
3588 Pleasant Echo Drive,San Jose,Santa Clara,1421000,3,1532,2,0,8303,38,CA,37.3491532,-121.7917739,503312,3926,140425,21,30,664,4.3
1554 Sawgrass Dr San Jose ,San Jose,Santa Clara,1160000,4,1786,2,1,2812,24,CA,37.3444667,-121.8530365,503602,5444,72336,33,49,666,4.4
18731 Rising Sun Drive,Morgan Hill,Santa Clara,2250000,5,3418,4,1,8229,4,CA,37.1596993,-121.6522397,512308,8661,176788,30,51,672,5.2
2068 Donnici Street,San Jose,Santa Clara,1500000,4,2262,3,0,2607,17,CA,37.2886813,-121.8632658,503127,4012,115388,6,25,675,6.2
15940 PIAZZA Way,Morgan Hill,Santa Clara,1050000,3,1406,2,1,4436,24,CA,37.112031,-121.644957,512307,7151,137894,69,75,677,5.4
773 Pelleas Lane,San Jose,Santa Clara,1575000,5,2533,3,0,6060,49,CA,37.3865367,-121.8389362,503802,8141,104293,31,60,683,4.2
2825 Fountain Oaks Drive,Morgan Hill,Santa Clara,1500000,4,2078,2,0,9380,45,CA,37.1398002,-121.603684,512309,5102,139157,10,11,684,5.6
412 Calle Cerro ,Morgan Hill,Santa Clara,1200000,3,1777,2,1,4356,24,CA,37.133654,-121.650871,512311,3931,114643,57,78,690,5
424 N 3rd Street,San Jose,Santa Clara,2300000,5,3332,5,1,9510,123,CA,37.3442117,-121.8933703,501101,4329,95658,86,95,690,3.6
16647 Lone Hill Drive,Morgan Hill,Santa Clara,825000,3,1032,2,0,1358,39,CA,37.1202508,-121.6551805,512313,3627,87500,53,40,694,5
2386 Azevedo Parkway,San Jose,Santa Clara,1160000,2,1690,2,1,1396,18,CA,37.2957097,-121.8642887,503126,3421,120000,17,21,695,5.8
1401 Ford Avenue,San Jose,Santa Clara,820000,3,1193,1,0,5358,122,CA,37.315545,-121.8749611,503121,4771,53883,78,80,695,4.2
1407 Ford Avenue,San Jose,Santa Clara,840000,2,984,1,0,7810,122,CA,37.3154532,-121.8748284,503121,4771,53883,78,80,695,4.2
73 Alexander Court,San Jose,Santa Clara,1120000,4,1464,2,0,7523,75,CA,37.3629563,-121.8406482,503713,3352,57424,50,54,696,4.8
1316 Morning Star Drive,Morgan Hill,Santa Clara,1975000,3,2631,2,1,8073,5,CA,37.15931,-121.6513263,512308,8661,176788,30,51,700,5.2
3691 Larry Court,San Jose,Santa Clara,1000000,3,1277,2,0,6936,52,CA,37.2951789,-121.8178046,503207,3872,105417,33,61,702,5.8
1935 Edgestone Cir ,San Jose,Santa Clara,1170000,4,1652,3,0,4050,42,CA,37.3240697,-121.8228321,503305,5578,79483,87,65,708,4.2
16200 Saint Lawrence Drive,Morgan Hill,Santa Clara,1500000,4,2401,2,1,4688,24,CA,37.1198773,-121.6316746,512310,5328,88229,29,57,711,5.2
1405 Snowbird Lane,Morgan Hill,Santa Clara,1799000,4,2424,3,0,5946,5,CA,37.1599804,-121.6493212,512308,8661,176788,31,52,711,5.2
3280 Flintdale Drive,San Jose,Santa Clara,1350000,4,1693,2,1,6000,41,CA,37.3447498,-121.799962,503322,4990,112763,8,47,715,4.3
359 Bella Ridge Terrace,San Jose,Santa Clara,1270000,3,1620,3,0,1396,18,CA,37.2955459,-121.8643332,503126,3421,120000,17,21,717,5.8
10431 Observatory Drive,San Jose,Santa Clara,1175000,3,1888,2,0,12917,67,CA,37.3776765,-121.8075265,504202,4040,165185,8,3,719,3.8
21441 Aldercroft Heights,Los Gatos,Santa Clara,1600000,4,2016,2,1,43560,93,CA,37.1590038,-121.9695953,511800,4360,173529,0,4,719,8.5
18660 Hale Avenue,Morgan Hill,Santa Clara,850000,2,910,1,1,12220,97,CA,37.1431837,-121.6686579,512305,4555,169667,34,56,723,4.2
5742 Knollwell Way,San Jose,Santa Clara,1440000,5,1987,3,0,5580,0,CA,37.2476842,-121.786033,512039,6439,123125,24,57,725,5
1267 Lightland Road,San Jose,Santa Clara,1200888,3,1239,2,0,3570,46,CA,37.2948471,-121.8137558,503207,3872,105417,17,49,726,5.8
510 Beth Drive,San Jose,Santa Clara,1010000,4,1241,2,0,4918,62,CA,37.2937035,-121.8356888,503220,4543,70561,62,58,727,5.5
945 Oak Park Drive,Morgan Hill,Santa Clara,1125000,3,1771,2,1,3326,35,CA,37.1201772,-121.6621087,512314,7070,83201,36,37,729,5
1903 Junesong Way,San Jose,Santa Clara,1620000,4,2293,2,1,4352,31,CA,37.3744012,-121.867891,504319,6799,127473,61,65,729,6.6
1856 Tersini Court,San Jose,Santa Clara,1999999,4,2254,3,0,6255,32,CA,37.3827972,-121.8798532,504317,4100,137054,46,63,730,4.7
2981 Park Lane,San Jose,Santa Clara,1200000,3,1289,2,0,7094,54,CA,37.3460179,-121.8149571,503511,3522,95556,24,55,730,4.8
749 Promenade Lane,San Jose,Santa Clara,1830000,5,2346,3,0,8684,25,CA,37.2463422,-121.765292,512001,6099,191641,8,46,730,5.5
774 River View Dr ,San Jose,Santa Clara,1425000,4,1893,2,1,12739,46,CA,37.2761174,-121.8094398,512056,4102,124722,8,21,731,4.6
5766 Hecker Pass Road,Gilroy,Santa Clara,1600000,3,2181,2,0,239580,42,CA,37.0033499,-121.6703193,512200,3837,141538,0,0,734,5
2015 Jeanie Lane,Gilroy,Santa Clara,1910000,4,2188,3,0,71874,49,CA,37.0745982,-121.5645837,512401,4542,120536,14,25,735,5.3
16935 Pine Way,Morgan Hill,Santa Clara,1760000,4,2091,3,0,7234,28,CA,37.1344375,-121.6219143,512309,5102,139157,42,47,736,5.6
305 Coty Way,San Jose,Santa Clara,1700000,6,2236,3,0,6860,51,CA,37.2733187,-121.8453416,512019,4789,127321,56,59,738,4.2
15560 La Alameda Drive,Morgan Hill,Santa Clara,1405000,3,1558,2,0,12231,54,CA,37.1033483,-121.6461574,512307,7151,137894,31,51,738,4.6
16195 Church Street,Morgan Hill,Santa Clara,1200000,3,2240,1,0,9826,66,CA,37.1160751,-121.6425258,512313,3627,87500,72,79,742,5.2
1678 Orlando Drive,San Jose,Santa Clara,960000,4,1236,2,0,5346,63,CA,37.3332071,-121.8350216,503504,6603,107143,48,53,743,4.4
1869 Terilyn Avenue,San Jose,Santa Clara,875000,3,1040,2,0,5532,63,CA,37.3272118,-121.838091,503402,5114,63690,34,41,744,4.2
232 Bayliss Drive,San Jose,Santa Clara,1850000,5,2347,3,0,6529,44,CA,37.2172383,-121.765114,512035,4985,165208,13,6,744,6.5
225 Longview Drive,Morgan Hill,Santa Clara,1040000,3,1402,2,0,6532,63,CA,37.1321259,-121.6624874,512314,7070,83201,75,67,744,4
70 Chester Avenue,San Martin,Santa Clara,725000,3,1034,2,0,7267,88,CA,37.0838568,-121.6113509,512401,4542,120536,39,32,745,4.8
349 Daisy Drive,San Jose,Santa Clara,2260000,5,2952,4,0,4197,24,CA,37.2399349,-121.8112196,512036,4713,136250,39,56,746,6
3367 Brigadoon Way ,San Jose,Santa Clara,710000,3,910,1,0,5356,51,CA,37.3076098,-121.8041337,503336,3444,118036,56,67,746,5.3
15877 Miradero Avenue,San Jose,Santa Clara,1910000,4,2552,4,0,7456,0,CA,37.3907162,-121.8123916,504202,4040,165185,1,9,748,3.3
21150 Uvas Road,Morgan Hill,Santa Clara,1700000,5,2483,3,1,221720,57,CA,37.1526367,-121.7477526,512100,1468,85000,0,0,748,5
2364 Bikini Avenue,San Jose,Santa Clara,1100000,3,1068,2,0,5950,0,CA,37.3176572,-121.8339539,503111,5979,107308,64,64,749,4.7
3137 Haga Drive,San Jose,Santa Clara,1060000,3,1152,2,0,6104,46,CA,37.2913622,-121.8383579,503220,4543,70561,56,51,749,5
974 Rock Canyon Circle,San Jose,Santa Clara,2202202,4,2478,2,1,9686,42,CA,37.3932798,-121.8282152,504201,5534,159688,11,41,750,4.8
16690 Fountain Avenue,Morgan Hill,Santa Clara,1050000,3,1177,2,0,7366,47,CA,37.1345655,-121.6117966,512309,5102,139157,20,32,752,5.6
145 W San Martin Avenue,San Martin,Santa Clara,1130000,2,1452,1,0,9624,66,CA,37.0842762,-121.6129332,512401,4542,120536,38,31,752,4.8
944 E Taylor Street,San Jose,Santa Clara,1230000,7,2139,4,1,10093,112,CA,37.357748,-121.8813206,501102,4465,112790,53,81,752,3.7
720 N 21St St ,San Jose,Santa Clara,1695000,6,2012,4,1,11645,69,CA,37.3591797,-121.8804313,500100,7074,129327,47,76,752,3.8
19460 Graystone Lane,San Jose,Santa Clara,3450000,5,4580,3,1,94525,41,CA,37.2195732,-121.8344878,511911,4893,136635,0,24,753,7.5
1295 Jasmine Way,Morgan Hill,Santa Clara,1036000,3,1160,2,0,6084,48,CA,37.1381118,-121.628243,512308,8661,176788,28,55,759,5.6
850 Cape Verde Place,San Jose,Santa Clara,1938000,4,2940,2,1,7413,44,CA,37.3722269,-121.8662455,504319,6799,127473,17,63,759,6.6
3412 Casalino Court,San Jose,Santa Clara,1180000,3,1153,2,0,8144,39,CA,37.3401643,-121.7896378,503322,4990,112763,14,24,759,4.5
374 Huckleberry Drive,San Jose,Santa Clara,1970000,4,2450,3,0,4531,24,CA,37.2389957,-121.8118426,512036,4713,136250,34,49,760,6
4943 Scarlett Way,San Jose,Santa Clara,1580000,3,2087,2,1,5803,42,CA,37.2743272,-121.7995615,512001,6099,191641,5,26,760,4.6
2638 Pendragon Lane,San Jose,Santa Clara,875000,3,1136,2,0,5057,63,CA,37.3538019,-121.8305285,504002,7203,82965,65,65,762,4.2
1027 Junesong Way,San Jose,Santa Clara,1500000,4,1822,2,0,6501,45,CA,37.3755257,-121.8700923,504319,6799,127473,70,71,764,6.6
168 Sierra Vista Place,San Jose,Santa Clara,1190000,3,1091,2,0,11017,44,CA,37.3577906,-121.8345322,504002,7203,82965,61,63,764,4.6
6587 Korhummel Way,San Jose,Santa Clara,1850000,3,2819,3,1,5981,52,CA,37.2279328,-121.79391,512059,6975,125184,25,33,766,6.2
153 Talmadge Avenue,San Jose,Santa Clara,1340000,4,1535,2,0,11956,87,CA,37.3690744,-121.8291717,503902,6088,91083,61,59,769,3.5
400 W Dunne Avenue,Morgan Hill,Santa Clara,1675000,3,1668,2,1,23884,0,CA,37.1220691,-121.6591682,512313,3627,87500,56,36,769,5
1057 S 7th Street,San Jose,Santa Clara,1100000,2,1358,2,0,5591,114,CA,37.323323,-121.8727828,503112,3783,49274,81,90,770,3.6
674 Excalibur ,San Jose,Santa Clara,894000,4,1242,2,0,5500,62,CA,37.3546423,-121.830484,504002,7203,82965,65,65,772,4.5
1698 Nightingale Avenue,Sunnyvale,Santa Clara,2950000,4,2296,3,1,6189,5,CA,37.3379515,-122.0120405,508206,3704,184063,51,75,772,5.8
386 Monroe Street,Santa Clara,Santa Clara,2300000,5,2854,3,0,7500,14,CA,37.3427083,-121.9451557,505700,6389,117500,68,92,772,5.6
1811 Woodridge Way,San Jose,Santa Clara,1010000,3,1289,2,0,6217,54,CA,37.3444774,-121.8113086,503511,3522,95556,37,64,778,4.8
17465 Chesbro Lake Drive,Morgan Hill,Santa Clara,2499000,4,3209,3,0,1812967,51,CA,37.1153735,-121.7064929,512200,3837,141538,2,1,779,3.8
58 Pimentel Cir ,Milpitas,Santa Clara,1600000,4,2284,3,1,1621,9,CA,37.4333562,-121.8910583,504509,4094,170739,72,66,780,5.4
1570 Barberry Court,San Jose,Santa Clara,1000000,3,1220,2,0,5975,43,CA,37.3105436,-121.8212749,503304,7373,86017,44,40,782,4.3
1558 Dina Court,San Jose,Santa Clara,1205000,3,1107,2,0,6088,43,CA,37.3108393,-121.8222982,503304,7373,86017,19,37,782,4.2
2718 Eulalie Drive,San Jose,Santa Clara,1305000,3,1232,2,0,5851,55,CA,37.3097823,-121.8297277,503211,4473,106250,30,39,786,5
13861 Highwood Dr ,San Jose,Santa Clara,1100000,3,1024,1,0,6975,69,CA,37.3576087,-121.8235884,504001,5307,59487,74,69,786,4.2
1804 Wintersong Court,San Jose,Santa Clara,1720000,4,2084,2,0,7311,47,CA,37.376306,-121.8712486,504317,4100,137054,67,69,787,6.8
20015 Uvas Road,Morgan Hill,Santa Clara,1525000,3,1758,2,0,44431,74,CA,37.1502058,-121.746417,512200,3837,141538,0,9,788,5
30 Pickford Avenue,San Jose,Santa Clara,1200000,4,1569,3,0,7245,39,CA,37.3698358,-121.8258128,503902,6088,91083,67,55,791,3.7
12581 Clayton Road,San Jose,Santa Clara,1775000,4,2245,2,1,158123,84,CA,37.3584378,-121.7803363,504202,4040,165185,1,0,791,4.7
96 Fox Avenue,San Jose,Santa Clara,1125000,2,1365,2,0,4575,114,CA,37.342635,-121.8973718,500200,6285,143333,76,89,794,3.6
440 Clogston Court,San Jose,Santa Clara,1400000,5,1763,3,0,6098,44,CA,37.3691195,-121.8490334,503708,3024,103173,46,65,794,4.3
387 Los Coches Street,Milpitas,Santa Clara,1800000,4,2519,3,1,2062,7,CA,37.429944,-121.8987945,504509,4094,170739,55,74,796,5.4
96 Calypso Lane,Milpitas,Santa Clara,2030000,5,2636,3,0,3140,8,CA,37.4306834,-121.9007062,504509,4094,170739,53,76,796,5.4
17025 Pine Way ,Morgan Hill,Santa Clara,1238000,4,1296,2,0,7260,46,CA,37.136163,-121.6227166,512308,8661,176788,49,59,798,5.6
6149 Del Canto Drive,San Jose,Santa Clara,1985000,5,2563,3,0,8674,50,CA,37.2356008,-121.80014,512059,6975,125184,63,64,800,6.6
12580 Harding Avenue,San Martin,Santa Clara,2824000,4,3530,3,0,213880,0,CA,37.0739059,-121.6104371,512402,5344,123646,6,28,800,4.8
468 N 11th Street,San Jose,Santa Clara,861500,4,1722,2,0,5985,0,CA,37.3491771,-121.8855893,501102,4465,112790,76,94,802,3.7
4167 Heppner Lane,San Jose,Santa Clara,1450000,3,1685,2,0,6126,54,CA,37.2700513,-121.8629768,512005,6965,152569,58,72,804,4
13921 Story Road,San Jose,Santa Clara,715000,2,984,1,0,4889,69,CA,37.355571,-121.8204741,504001,5307,59487,79,69,806,4.2
89 River Ash Court,San Jose,Santa Clara,1465000,4,1935,2,0,6126,43,CA,37.273301,-121.8325749,512055,3746,132411,41,70,806,4.8
2768 Ophelia Avenue,San Jose,Santa Clara,985000,3,1043,1,1,5730,61,CA,37.3164352,-121.8162919,503305,5578,79483,56,55,808,4.2
985 Summerfield Drive,San Jose,Santa Clara,1625000,4,2000,2,1,6331,44,CA,37.3043498,-121.8327973,503212,4596,103448,20,56,811,5
743 Locust Street,San Jose,Santa Clara,1020000,2,1170,1,0,5884,113,CA,37.3220405,-121.8875902,501700,4831,64500,84,93,812,4.3
3264 Rocky Mountain Drive,San Jose,Santa Clara,975000,3,1040,2,0,5244,62,CA,37.349034,-121.8058802,503509,4763,125450,20,57,815,4.3
